_id,timestamp,uiVersion,user ID,userID,event,parameter,__v
64ecb059422709a28eaef5d0,2023-08-28T14:34:00.767Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:44,0
64ecb059422709a28eaef5ce,2023-08-28T14:34:00.889Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:47,0
64ecb059422709a28eaef5dc,2023-08-28T14:34:01.323Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:52,0
64ecb05a422709a28eaef5de,2023-08-28T14:34:02.528Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:50,0
64ecb05a422709a28eaef5e0,2023-08-28T14:34:02.630Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:49,0
64ecb05a422709a28eaef5e2,2023-08-28T14:34:02.673Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:48,0
64ecb05b422709a28eaef5e4,2023-08-28T14:34:03.131Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:49,0
64ecb05b422709a28eaef5e6,2023-08-28T14:34:03.151Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:50,0
64ecb05b422709a28eaef5e8,2023-08-28T14:34:03.243Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:51,0
64ecb05d422709a28eaef5ea,2023-08-28T14:34:04.895Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:50,0
64ecb05d422709a28eaef5ec,2023-08-28T14:34:05.003Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:49,0
64ecb05d422709a28eaef5ee,2023-08-28T14:34:05.822Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:50,0
64ecb078422709a28eaef5f0,2023-08-28T14:34:32.612Z,2,1012,1012,modify_value_categorical,Job#Prefrences_acceptable_values:Craft-repair,0
64ecb07b422709a28eaef5f2,2023-08-28T14:34:35.567Z,2,1012,1012,modify_value_categorical,Job#Prefrences_acceptable_values:Tech-support,0
64ecb090422709a28eaef5f4,2023-08-28T14:34:56.393Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Preschool,0
64ecb091422709a28eaef5f6,2023-08-28T14:34:57.850Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:HS-grad,0
64ecb094422709a28eaef5f8,2023-08-28T14:35:00.008Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Some-college,0
64ecb094422709a28eaef5fa,2023-08-28T14:35:00.879Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Bachelors,0
64ecb096422709a28eaef5fc,2023-08-28T14:35:02.403Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:10th,0
64ecb096422709a28eaef5fe,2023-08-28T14:35:02.819Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:5th-6th,0
64ecb097422709a28eaef600,2023-08-28T14:35:03.350Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:7th-8th,0
64ecb097422709a28eaef602,2023-08-28T14:35:03.620Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:11th,0
64ecb098422709a28eaef604,2023-08-28T14:35:04.210Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:12th,0
64ecb098422709a28eaef606,2023-08-28T14:35:04.479Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:9th,0
64ecb099422709a28eaef608,2023-08-28T14:35:05.162Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:1st-4th,0
64ecb09c422709a28eaef60a,2023-08-28T14:35:08.130Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Bachelors,0
64ecb0ab422709a28eaef60c,2023-08-28T14:35:22.913Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Some-college,0
64ecb0b0422709a28eaef60e,2023-08-28T14:35:27.928Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Assoc-voc,0
64ecb0b2422709a28eaef610,2023-08-28T14:35:29.459Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:HS-grad,0
64ecb0b2422709a28eaef612,2023-08-28T14:35:29.709Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:10th,0
64ecb0b2422709a28eaef614,2023-08-28T14:35:30.028Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:5th-6th,0
64ecb0b2422709a28eaef616,2023-08-28T14:35:30.366Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Preschool,0
64ecb0b3422709a28eaef618,2023-08-28T14:35:30.947Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:1st-4th,0
64ecb0b3422709a28eaef61a,2023-08-28T14:35:31.267Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:7th-8th,0
64ecb0b3422709a28eaef61c,2023-08-28T14:35:31.563Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:11th,0
64ecb0b4422709a28eaef61e,2023-08-28T14:35:32.454Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:12th,0
